k,time
1,0
2,0
3,0
4,1.997e-010
5,0
6,0
7,0
8,9.9e-011
9,1.052e-010
10,1e-010
11,0
12,0
13,1e-010
14,1e-010
15,1.996e-010
16,1.992e-010
17,3.991e-010
18,9.68e-011
19,2.931e-010
20,9.07e-011
21,2.005e-010
22,1.014e-010
23,2.847e-010
24,3.088e-010
25,2.954e-010
26,9.9e-011
27,3.894e-010
28,5.88e-010
29,3.983e-010
30,5.08e-010
31,2.021e-010
32,3.066e-010
33,5.114e-010
34,5.139e-010
35,1.032e-010
36,3.793e-010
37,1.911e-010
38,4.93e-010
39,5.809e-010
40,4.057e-010
41,4.025e-010
42,4.071e-010
43,7.062e-010
44,7.931e-010
45,1e-010
46,3.665e-010
47,6.98e-010
48,4.001e-010
49,6.25e-010
50,7.765e-010
51,3.871e-010
52,5.108e-010
53,7.934e-010
54,8.385e-010
55,3.939e-010
56,6.823e-010
57,3.996e-010
58,6.98e-010
59,4.895e-010
60,5.647e-010
61,1.0584e-009
62,8.934e-010
63,7.676e-010
64,8.962e-010
65,8.968e-010
66,6.813e-010
67,8.076e-010
68,9.126e-010
69,6.1e-010
70,9.153e-010
71,8.956e-010
72,7.137e-010
73,5.147e-010
74,8.649e-010
75,8.951e-010
76,9.622e-010
77,7.988e-010
78,6.976e-010
79,8.999e-010
80,8.873e-010
81,9.196e-010
82,8.872e-010
83,1.0895e-009
84,1.0346e-009
85,9.866e-010
86,9.035e-010
87,8.885e-010
88,1.0129e-009
89,1.0375e-009
90,9.364e-010
91,1.0896e-009
92,1.0005e-009
93,1.1295e-009
94,8.885e-010
95,1.1881e-009
96,1.1044e-009
97,1.2044e-009
98,1.1897e-009
99,1.1504e-009
100,1.1108e-009
101,1.1288e-009
102,1.3047e-009
103,1.1911e-009
104,9.958e-010
105,1.1265e-009
106,1.1669e-009
107,1.1786e-009
108,1.3935e-009
109,1.1063e-009
110,1.5053e-009
111,1.3616e-009
112,1.206e-009
113,1.0997e-009
114,1.4013e-009
115,1.0636e-009
116,1.4019e-009
117,1.3592e-009
118,1.297e-009
119,1.2906e-009
120,1.6439e-009
121,1.2955e-009
122,1.2178e-009
123,1.4976e-009
124,1.1047e-009
125,1.4139e-009
126,1.39e-009
127,1.7064e-009
128,1.4413e-009
